V,uA
0,-18.479916
0.01020757,-13.719939
0.02041514,-11.255949
0.03062271,-9.127959
0.04083028,-7.223967
0.051037852,-5.375976
0.06124542,-3.639983
0.071452992,-1.959991
0.08166056,-0.349998
0.091868136,1.203994
0.102075,2.715987
0.112283,4.185981
0.12249,5.599975
0.132698,6.992969
0.142905,8.371962
0.153113,9.750956
0.163321,11.14395
0.173528,12.550943
0.183736,13.971938
0.193943,15.41393
0.204151,16.876924
0.214358,18.374918
0.224566,19.89391
0.234774,21.447904
0.244981,23.036896
0.255189,24.639888
0.265396,26.284882
0.275604,27.957874
0.285811,29.644866
0.296019,31.33186
0.306227,33.046852
0.316434,34.768844
0.326642,36.490836
0.336849,38.226828
0.347057,39.96982
0.357264,41.705812
0.367472,43.441804
0.37768,45.184796
0.387887,46.892792
0.398095,48.60778
0.408302,50.329776
0.41851,52.044764
0.428717,53.74576
0.438925,55.460752
0.449133,56.223748
0.45934,55.642752
0.469548,55.159752
0.479755,54.704752
0.489963,54.277756
0.50017,53.871756
0.510378,53.50076
0.520586,53.10876
0.530793,52.75876
0.541001,52.450764
0.551208,52.100764
0.561416,51.806768
0.571623,51.498768
0.581831,51.281768
0.592039,51.001772
0.602246,50.784772
0.612454,50.462772
0.622661,50.203772
0.632869,49.930776
0.643076,49.678776
0.653284,49.475776
0.663492,49.25178
0.673699,49.05578
0.683907,48.84578
0.694114,48.65678
0.704322,48.502784
0.714529,48.306784
0.724737,48.117784
0.734945,47.935784
0.745152,47.718788
0.75536,47.557788
0.765567,47.382788
0.775775,47.200788
0.785982,47.053788
0.79619,46.899792
0.806398,46.752792
0.816605,46.605792
0.826813,46.479788
0.83702,46.360792
0.847228,46.227796
0.857435,46.094792
0.867643,45.975796
0.87785,45.870796
0.888058,45.758792
0.898266,45.632796
0.908473,45.534796
0.918681,45.422796
0.928888,45.324796
0.939096,45.198796
0.949303,45.149796
0.959511,45.072796
0.969719,44.939796
0.979926,44.834796
0.990134,44.743796
1.000341,44.6458
0.990134,44.5338
0.979926,44.4498
0.969719,44.3518
0.959511,44.2748
0.949303,44.2118
0.939096,44.141804
0.928888,44.0788
0.918681,43.9738
0.908473,43.8688
0.898266,43.805804
0.888058,43.749804
0.87785,43.686804
0.867643,43.595804
0.857435,43.546804
0.847228,43.497804
0.83702,43.434804
0.826813,43.378804
0.816605,43.308804
0.806398,43.252804
0.79619,43.161808
0.785982,43.112808
0.775775,43.091804
0.765567,43.056804
0.75536,42.986808
0.745152,42.923808
0.734945,42.902804
0.724737,42.853804
0.714529,42.818808
0.704322,42.804808
0.694114,42.734808
0.683907,42.734808
0.673699,42.671808
0.663492,42.531808
0.653284,42.461808
0.643076,42.391808
0.632869,42.349812
0.622661,42.335808
0.612454,42.286808
0.602246,42.258812
0.592039,42.216812
0.581831,42.167812
0.571623,42.146812
0.561416,42.097812
0.551208,42.076808
0.541001,42.027808
0.530793,41.978812
0.520586,41.943812
0.510378,41.901812
0.50017,41.880812
0.489963,41.852812
0.479755,41.285816
0.469548,38.898824
0.45934,36.588836
0.449133,34.362844
0.438925,32.227856
0.428717,30.169866
0.41851,28.125874
0.408302,26.109884
0.398095,24.18489
0.387887,22.2319
0.37768,20.341908
0.367472,18.500916
0.357264,16.652926
0.347057,14.860933
0.336849,13.089941
0.326642,11.367949
0.316434,9.652956
0.306227,7.951964
0.296019,6.320971
0.285811,4.696979
0.275604,3.086986
0.265396,1.497993
0.255189,-0.069999688
0.244981,-1.637992
0.234774,-3.198985
0.224566,-4.745978
0.214358,-6.285972
0.204151,-7.839965
0.193943,-9.372958
0.183736,-10.905951
0.173528,-12.445944
0.163321,-13.964937
0.153113,-15.49793
0.142905,-17.044924
0.132698,-18.598916
0.12249,-20.145908
0.112283,-21.706902
0.102075,-23.288894
0.091868136,-24.863888
0.08166056,-26.445882
0.071452992,-28.055874
0.06124542,-29.651866
0.051037852,-31.254862
0.04083028,-32.864852
0.03062271,-34.467844
0.02041514,-36.07084
0.01020757,-37.673832
0,-39.283824
﻿
